Model,Award_Schedule,Budget_M,Budget_Used_M,Budget_Utilization_Pct,Systems_Selected,Tier1_Selected,Small_Systems_Selected,Large_Systems_Selected,Small_System_Share_Pct,Large_System_Share_Pct,States_Represented,EPA_Regions_Represented,Total_Priority_Points,Average_Priority_Score,Priority_Points_per_$M,Max_State_Budget_Share_Pct
PRIORITY_REACH,BASE,100.0,100.0,100.0,50,50,50,0,100.0,0.0,20,7,3975.5,79.5,39.76,18.0
PRIORITY_REACH,BASE,250.0,250.0,100.0,123,89,123,0,100.0,0.0,30,9,9150.5,74.4,36.6,16.2
PRIORITY_REACH,BASE,500.0,500.0,100.0,243,107,243,0,100.0,0.0,35,10,16534.0,68.0,33.07,10.5
PRIORITY_REACH,BASE,1000.0,1000.0,100.0,451,133,443,8,98.2,1.8,44,10,28017.9,62.1,28.02,11.5
EXPOSURE_EMPHASIS,BASE,100.0,100.0,100.0,41,41,35,6,85.4,14.6,15,7,3432.5,83.7,34.33,41.0
EXPOSURE_EMPHASIS,BASE,250.0,250.0,100.0,92,92,70,22,76.1,23.9,22,8,7458.6,81.1,29.83,40.8
EXPOSURE_EMPHASIS,BASE,500.0,500.0,100.0,166,142,111,55,66.9,33.1,31,9,13169.6,79.3,26.34,31.7
EXPOSURE_EMPHASIS,BASE,1000.0,1000.0,100.0,316,219,201,115,63.6,36.4,36,10,23686.0,75.0,23.69,20.6
BALANCED,BASE,100.0,100.0,100.0,32,32,20,12,62.5,37.5,13,7,2790.6,87.2,27.91,20.0
BALANCED,BASE,250.0,250.0,100.0,81,81,52,29,64.2,35.8,24,9,6746.5,83.3,26.99,20.0
BALANCED,BASE,500.0,500.0,100.0,162,141,105,57,64.8,35.2,31,9,12894.7,79.6,25.79,20.0
BALANCED,BASE,1000.0,1000.0,100.0,317,218,203,114,64.0,36.0,36,10,23741.1,74.9,23.74,19.9
