State,flagged_systems,tier1_systems,tier2_systems,large_systems,small_systems,median_priority_score,max_priority_score,reported_potential_source_systems,tier1_pct
FL,127,65,34,85,42,70.7,100.0,11,51.2
CA,129,48,39,98,31,62.7,100.0,17,37.2
NJ,114,44,47,73,41,65.85,90.9,23,38.6
NC,68,34,24,39,29,70.15,95.8,16,50.0
PA,93,33,36,40,53,63.9,99.1,23,35.5
AL,56,25,26,31,25,68.35,95.1,8,44.6
SC,49,23,20,25,24,69.0,87.8,2,46.9
MA,75,14,35,47,28,60.5,86.3,13,18.7
TN,17,12,4,9,8,73.5,92.0,1,70.6
CT,28,10,11,20,8,63.55,79.7,10,35.7
OH,37,9,24,14,23,61.2,92.3,12,24.3
NY,32,8,4,17,15,51.3,89.0,3,25.0
GA,27,8,12,15,12,65.3,89.3,5,29.6
AZ,22,6,10,13,9,62.3,88.1,8,27.3
TX,27,5,11,19,8,59.6,88.3,0,18.5
MD,15,5,7,5,10,61.4,90.0,4,33.3
DE,12,5,5,9,3,68.45,87.5,3,41.7
MN,10,4,2,6,4,61.3,90.4,4,40.0
WA,20,3,5,15,5,53.8,85.8,7,15.0
WI,19,3,8,4,15,58.5,76.2,4,15.8
