priority_rank,PWSID,PWSName,State,UCMR_Size,priority_score_100,priority_tier,max_pfoa_avg_ng_l,max_pfos_avg_ng_l,affected_point_fraction
1,FL3420922,"OCALA, CITY OF (2 WTPS)",FL,L,100.0,Tier 1 — highest,6.45,39.0,1.0
2,CA1910034,"DOWNEY - CITY, WATER DEPT.",CA,L,100.0,Tier 1 — highest,12.5,38.0,1.0
3,PA3390032,EMMAUS BOROUGH PUBLIC WATER,PA,L,99.1,Tier 1 — highest,19.5,127.0,1.0
4,FL4130977,"NORTH MIAMI, CITY OF",FL,L,96.2,Tier 1 — highest,12.0,44.5,1.0
5,NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,NC,L,95.8,Tier 1 — highest,8.45,16.85,1.0
6,AL0001671,SHELBY COUNTY WATER SYSTEM,AL,L,95.1,Tier 1 — highest,23.0,21.7,1.0
7,FL4134357,FKAA J. ROBERT DEAN  W.T.P.,FL,L,95.0,Tier 1 — highest,9.1,46.15,1.0
8,FL4060787,"LAUDERHILL, CITY OF",FL,L,95.0,Tier 1 — highest,10.05,34.5,1.0
9,FL4501229,"RIVIERA BEACH UTILITY DISTRICT, CITY OF",FL,L,95.0,Tier 1 — highest,13.5,27.0,1.0
10,FL4060845,CITY OF MARGATE,FL,L,95.0,Tier 1 — highest,5.95,24.95,1.0
11,AL0000213,CLANTON WATER DEPARTMENT,AL,L,95.0,Tier 1 — highest,19.5,21.5,1.0
12,FL3641336,VC/SOUTHWEST WATER SYSTEM,FL,L,95.0,Tier 1 — highest,11.5,21.5,1.0
13,CA1910101,ORCHARD DALE WATER DISTRICT,CA,L,94.7,Tier 1 — highest,9.25,20.0,1.0
14,FL4060167,BCWWS 1A,FL,L,94.4,Tier 1 — highest,6.8,19.8,1.0
15,CA1900679,RANCHO LOS AMIGOS HOSPITAL,CA,S,94.0,Tier 1 — highest,7.0,22.75,1.0
16,CA1910042,"PICO RIVERA - CITY, WATER DEPT.",CA,L,93.9,Tier 1 — highest,12.6,28.5,1.0
17,FL6291791,CITY OF TEMPLE TERRACE UTILITY,FL,L,93.5,Tier 1 — highest,8.85,19.05,1.0
18,FL4131618,NORTH MIAMI BEACH,FL,L,92.8,Tier 1 — highest,5.3,18.5,1.0
19,AL0000321,MUSCLE SHOALS UTILITY BOARD,AL,L,92.5,Tier 1 — highest,8.275,14.175,1.0
20,OH2903312,WRIGHT-PATTERSON AFB AREA B PWS,OH,L,92.3,Tier 1 — highest,5.45,14.0,1.0
21,FL4501058,"PALM SPRINGS, VILLAGE OF",FL,L,92.0,Tier 1 — highest,15.5,38.0,1.0
22,FL4131202,MDWASA/REX UTILITIES,FL,L,92.0,Tier 1 — highest,10.1,34.7,1.0
23,TN0000820,FORT CAMPBELL WATER SYSTEM,TN,L,92.0,Tier 1 — highest,5.775,24.75,1.0
24,FL6291882,UNIVERSITY OF SOUTH FLORIDA,FL,L,92.0,Tier 1 — highest,10.25,24.0,1.0
25,PA1460028,AQUA PA HATBORO,PA,L,91.9,Tier 1 — highest,16.05,19.05,0.667
26,PA1090089,NORTHAMPTON BUCKS CO MUN AUTH,PA,L,91.2,Tier 1 — highest,19.45,22.15,0.875
27,AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,AL,L,91.2,Tier 1 — highest,11.375,18.25,0.857
28,AL0000577,GADSDEN WATER WORKS AND SEWER BOARD,AL,L,91.0,Tier 1 — highest,23.45,22.675,1.0
29,NJ0710001,LIVINGSTON TWP DIV OF WATER,NJ,L,90.9,Tier 1 — highest,36.95,4.95,1.0
30,MN1190012,"Hastings, MN",MN,L,90.4,Tier 1 — highest,21.05,4.55,0.8
31,PA1460020,AMBLER BORO WATER DEPT,PA,L,90.2,Tier 1 — highest,14.1,12.55,0.889
32,FL4130871,MDWASA - MAIN SYSTEM,FL,L,90.0,Tier 1 — highest,12.35,31.45,0.75
33,FL4061083,"PEMBROKE PINES, CITY OF",FL,L,90.0,Tier 1 — highest,12.3,29.0,1.0
34,FL4060163,BCWWS 2A,FL,L,90.0,Tier 1 — highest,9.7,26.0,1.0
35,FL4061584,"COCONUT CREEK, CITY OF",FL,L,90.0,Tier 1 — highest,10.4,25.5,1.0
36,FL4060165,BCWWS 3A,FL,L,90.0,Tier 1 — highest,6.1,24.6,1.0
37,CA1910159,TRACT 180 MUTUAL WATER CO.,CA,L,90.0,Tier 1 — highest,6.25,23.0,1.0
38,MD0070011,TOWN OF ELKTON,MD,L,90.0,Tier 1 — highest,22.65,7.05,0.5
39,NC0326127,BROOKWOOD COMM WTR SYSTEM,NC,L,89.9,Tier 1 — highest,26.65,25.05,0.81
40,NC0353010,"SANFORD, CITY OF",NC,L,89.9,Tier 1 — highest,6.825,12.05,1.0
41,FL4060162,BCWWS 3B/C,FL,L,89.8,Tier 1 — highest,5.35,20.1,1.0
42,FL4060642,"HOLLYWOOD, CITY OF",FL,L,89.8,Tier 1 — highest,5.2,18.5,1.0
